"@timestamp","_id","_index","_score","container.image.name","container.image.name.keyword","input.type","input.type.keyword","kubernetes.container.name","kubernetes.container.name.keyword","kubernetes.namespace","kubernetes.namespace.keyword","kubernetes.node.hostname","kubernetes.node.hostname.keyword","kubernetes.node.name","kubernetes.node.name.keyword","kubernetes.pod.ip","kubernetes.pod.ip.keyword","kubernetes.pod.name","kubernetes.pod.name.keyword","kubernetes.replicaset.name","kubernetes.replicaset.name.keyword",message,"message.keyword",tags,"tags.keyword"
"Jan 23, 2026 @ 09:42:22.971",FquE6JsBE7rYD0G3aBbA,"k8s-prod-promotion-event-service-20260123","-","svc.maka.mobi:84/maka/promotion-event-service:prod-20260121122754","svc.maka.mobi:84/maka/promotion-event-service:prod-20260121122754",container,container,"promotion-event-service","promotion-event-service",prod,prod,"cn-beijing.172.16.50.210","cn-beijing.172.16.50.210","cn-beijing.172.16.50.210","cn-beijing.172.16.50.210","10.224.60.235","10.224.60.235","promotion-event-service-66f4547c7c-khhzv","promotion-event-service-66f4547c7c-khhzv","promotion-event-service-66f4547c7c","promotion-event-service-66f4547c7c","handleRegisterConversion: {""uid"":605644545,""appid"":""wenzy"",""conversionTime"":1769132543000,""oaid"":"""",""imei"":"""",""idfa"":"""",""idfv"":""20C897FF-5B01-4853-BD5D-29D7BB938F6B"",""androidid"":"""",""deviceid"":""8bdbad9a40e94df8a51b7800fa4fcb6c"",""bundleid"":""im.maka.danye"",""device"":""ios"",""ip"":""122.226.244.14"",""caid"":""""}","handleRegisterConversion: {""uid"":605644545,""appid"":""wenzy"",""conversionTime"":1769132543000,""oaid"":"""",""imei"":"""",""idfa"":"""",""idfv"":""20C897FF-5B01-4853-BD5D-29D7BB938F6B"",""androidid"":"""",""deviceid"":""8bdbad9a40e94df8a51b7800fa4fcb6c"",""bundleid"":""im.maka.danye"",""device"":""ios"",""ip"":""122.226.244.14"",""caid"":""""}","_geoip_expired_database","_geoip_expired_database"
"Jan 23, 2026 @ 09:42:19.043","-quE6JsBE7rYD0G3RAME","k8s-prod-promotion-event-service-20260123","-","svc.maka.mobi:84/maka/promotion-event-service:prod-20260121122754","svc.maka.mobi:84/maka/promotion-event-service:prod-20260121122754",container,container,"promotion-event-service","promotion-event-service",prod,prod,"cn-beijing.172.16.56.4","cn-beijing.172.16.56.4","cn-beijing.172.16.56.4","cn-beijing.172.16.56.4","10.224.14.84","10.224.14.84","promotion-event-service-66f4547c7c-qphs2","promotion-event-service-66f4547c7c-qphs2","promotion-event-service-66f4547c7c","promotion-event-service-66f4547c7c","handleRegisterConversion: {""uid"":605644544,""appid"":""maka"",""conversionTime"":1769132539000,""oaid"":"""",""imei"":"""",""idfa"":"""",""idfv"":""7B2A8DE6-E051-45DC-8301-134EC93E570C"",""androidid"":"""",""deviceid"":""7B2A8DE6-E051-45DC-8301-134EC93E570C"",""bundleid"":""im.maka.maka"",""device"":""ios"",""ip"":""106.224.89.172"",""caid"":""""}","handleRegisterConversion: {""uid"":605644544,""appid"":""maka"",""conversionTime"":1769132539000,""oaid"":"""",""imei"":"""",""idfa"":"""",""idfv"":""7B2A8DE6-E051-45DC-8301-134EC93E570C"",""androidid"":"""",""deviceid"":""7B2A8DE6-E051-45DC-8301-134EC93E570C"",""bundleid"":""im.maka.maka"",""device"":""ios"",""ip"":""106.224.89.172"",""caid"":""""}","_geoip_expired_database","_geoip_expired_database"
"Jan 23, 2026 @ 09:42:04.773",sKqE6JsBE7rYD0G3CeTu,"k8s-prod-promotion-event-service-20260123","-","svc.maka.mobi:84/maka/promotion-event-service:prod-20260121122754","svc.maka.mobi:84/maka/promotion-event-service:prod-20260121122754",container,container,"promotion-event-service","promotion-event-service",prod,prod,"cn-beijing.172.16.56.4","cn-beijing.172.16.56.4","cn-beijing.172.16.56.4","cn-beijing.172.16.56.4","10.224.14.84","10.224.14.84","promotion-event-service-66f4547c7c-qphs2","promotion-event-service-66f4547c7c-qphs2","promotion-event-service-66f4547c7c","promotion-event-service-66f4547c7c","handleRegisterConversion: {""uid"":605644543,""appid"":""maka"",""conversionTime"":1769132525000,""oaid"":""30bd401b-12ea-494c-a0c5-1342fbfb71ff"",""imei"":"""",""idfa"":"""",""idfv"":"""",""androidid"":""21b48d062bccf8ff"",""deviceid"":""30bd401b-12ea-494c-a0c5-1342fbfb71ff"",""bundleid"":""com.maka.app"",""device"":""android"",""ip"":""117.183.88.40"",""caid"":""""}","handleRegisterConversion: {""uid"":605644543,""appid"":""maka"",""conversionTime"":1769132525000,""oaid"":""30bd401b-12ea-494c-a0c5-1342fbfb71ff"",""imei"":"""",""idfa"":"""",""idfv"":"""",""androidid"":""21b48d062bccf8ff"",""deviceid"":""30bd401b-12ea-494c-a0c5-1342fbfb71ff"",""bundleid"":""com.maka.app"",""device"":""android"",""ip"":""117.183.88.40"",""caid"":""""}","_geoip_expired_database","_geoip_expired_database"
"Jan 23, 2026 @ 09:41:33.757",4KqD6JsBE7rYD0G3lbEF,"k8s-prod-promotion-event-service-20260123","-","svc.maka.mobi:84/maka/promotion-event-service:prod-20260121122754","svc.maka.mobi:84/maka/promotion-event-service:prod-20260121122754",container,container,"promotion-event-service","promotion-event-service",prod,prod,"cn-beijing.172.16.56.4","cn-beijing.172.16.56.4","cn-beijing.172.16.56.4","cn-beijing.172.16.56.4","10.224.14.84","10.224.14.84","promotion-event-service-66f4547c7c-qphs2","promotion-event-service-66f4547c7c-qphs2","promotion-event-service-66f4547c7c","promotion-event-service-66f4547c7c","handleRegisterConversion: {""uid"":605644542,""appid"":""wenzy"",""conversionTime"":1769132494000,""oaid"":"""",""imei"":"""",""idfa"":"""",""idfv"":"""",""androidid"":""556d39c77f3d2ea6"",""deviceid"":""faf7fd47-a19d-4379-8e74-ccf64ed80236"",""bundleid"":""im.maka.zywriting"",""device"":""android"",""ip"":""218.26.159.82"",""caid"":""""}","handleRegisterConversion: {""uid"":605644542,""appid"":""wenzy"",""conversionTime"":1769132494000,""oaid"":"""",""imei"":"""",""idfa"":"""",""idfv"":"""",""androidid"":""556d39c77f3d2ea6"",""deviceid"":""faf7fd47-a19d-4379-8e74-ccf64ed80236"",""bundleid"":""im.maka.zywriting"",""device"":""android"",""ip"":""218.26.159.82"",""caid"":""""}","_geoip_expired_database","_geoip_expired_database"
"Jan 23, 2026 @ 09:41:30.014",U6qD6JsBE7rYD0G3g6ud,"k8s-prod-promotion-event-service-20260123","-","svc.maka.mobi:84/maka/promotion-event-service:prod-20260121122754","svc.maka.mobi:84/maka/promotion-event-service:prod-20260121122754",container,container,"promotion-event-service","promotion-event-service",prod,prod,"cn-beijing.172.16.50.210","cn-beijing.172.16.50.210","cn-beijing.172.16.50.210","cn-beijing.172.16.50.210","10.224.60.235","10.224.60.235","promotion-event-service-66f4547c7c-khhzv","promotion-event-service-66f4547c7c-khhzv","promotion-event-service-66f4547c7c","promotion-event-service-66f4547c7c","handleRegisterConversion: {""uid"":605644541,""appid"":""wenzy"",""conversionTime"":1769132490000,""oaid"":"""",""imei"":"""",""idfa"":"""",""idfv"":""442A953F-5B75-4D9F-93F7-F063B53A2FA0"",""androidid"":"""",""deviceid"":""d637c6cd8a894578b8d3276cb6ade5d7"",""bundleid"":""im.maka.danye"",""device"":""ios"",""ip"":""123.164.180.64"",""caid"":""""}","handleRegisterConversion: {""uid"":605644541,""appid"":""wenzy"",""conversionTime"":1769132490000,""oaid"":"""",""imei"":"""",""idfa"":"""",""idfv"":""442A953F-5B75-4D9F-93F7-F063B53A2FA0"",""androidid"":"""",""deviceid"":""d637c6cd8a894578b8d3276cb6ade5d7"",""bundleid"":""im.maka.danye"",""device"":""ios"",""ip"":""123.164.180.64"",""caid"":""""}","_geoip_expired_database","_geoip_expired_database"
"Jan 23, 2026 @ 09:41:29.594","ZKqD6JsBE7rYD0G3h6y_","k8s-prod-promotion-event-service-20260123","-","svc.maka.mobi:84/maka/promotion-event-service:prod-20260121122754","svc.maka.mobi:84/maka/promotion-event-service:prod-20260121122754",container,container,"promotion-event-service","promotion-event-service",prod,prod,"cn-beijing.172.16.56.4","cn-beijing.172.16.56.4","cn-beijing.172.16.56.4","cn-beijing.172.16.56.4","10.224.14.84","10.224.14.84","promotion-event-service-66f4547c7c-qphs2","promotion-event-service-66f4547c7c-qphs2","promotion-event-service-66f4547c7c","promotion-event-service-66f4547c7c","handleRegisterConversion: {""uid"":605644540,""appid"":""jiantie"",""conversionTime"":1769132489000,""oaid"":"""",""imei"":"""",""idfa"":"""",""idfv"":"""",""androidid"":""82f2e65b318df563"",""deviceid"":"""",""bundleid"":""im.maka.jiantie"",""device"":""android"",""ip"":""39.146.161.68"",""caid"":""""}","handleRegisterConversion: {""uid"":605644540,""appid"":""jiantie"",""conversionTime"":1769132489000,""oaid"":"""",""imei"":"""",""idfa"":"""",""idfv"":"""",""androidid"":""82f2e65b318df563"",""deviceid"":"""",""bundleid"":""im.maka.jiantie"",""device"":""android"",""ip"":""39.146.161.68"",""caid"":""""}","_geoip_expired_database","_geoip_expired_database"
"Jan 23, 2026 @ 09:41:27.443",SqqD6JsBE7rYD0G3g6ud,"k8s-prod-promotion-event-service-20260123","-","svc.maka.mobi:84/maka/promotion-event-service:prod-20260121122754","svc.maka.mobi:84/maka/promotion-event-service:prod-20260121122754",container,container,"promotion-event-service","promotion-event-service",prod,prod,"cn-beijing.172.16.50.210","cn-beijing.172.16.50.210","cn-beijing.172.16.50.210","cn-beijing.172.16.50.210","10.224.60.235","10.224.60.235","promotion-event-service-66f4547c7c-khhzv","promotion-event-service-66f4547c7c-khhzv","promotion-event-service-66f4547c7c","promotion-event-service-66f4547c7c","handleRegisterConversion: {""uid"":605644539,""appid"":""jiantie"",""conversionTime"":1769132487000,""oaid"":"""",""imei"":"""",""idfa"":""4D1661D2-082B-4E71-B29A-F503BDCEC7EC"",""idfv"":""B3CDDBEC-8539-4920-9A87-D24D257764BB"",""androidid"":"""",""deviceid"":"""",""bundleid"":""im.maka.jiantie"",""device"":""ios"",""ip"":""58.52.43.102"",""caid"":""""}","handleRegisterConversion: {""uid"":605644539,""appid"":""jiantie"",""conversionTime"":1769132487000,""oaid"":"""",""imei"":"""",""idfa"":""4D1661D2-082B-4E71-B29A-F503BDCEC7EC"",""idfv"":""B3CDDBEC-8539-4920-9A87-D24D257764BB"",""androidid"":"""",""deviceid"":"""",""bundleid"":""im.maka.jiantie"",""device"":""ios"",""ip"":""58.52.43.102"",""caid"":""""}","_geoip_expired_database","_geoip_expired_database"
"Jan 23, 2026 @ 09:41:23.901",fqqD6JsBE7rYD0G3bqNY,"k8s-prod-promotion-event-service-20260123","-","svc.maka.mobi:84/maka/promotion-event-service:prod-20260121122754","svc.maka.mobi:84/maka/promotion-event-service:prod-20260121122754",container,container,"promotion-event-service","promotion-event-service",prod,prod,"cn-beijing.172.16.56.4","cn-beijing.172.16.56.4","cn-beijing.172.16.56.4","cn-beijing.172.16.56.4","10.224.14.84","10.224.14.84","promotion-event-service-66f4547c7c-qphs2","promotion-event-service-66f4547c7c-qphs2","promotion-event-service-66f4547c7c","promotion-event-service-66f4547c7c","handleRegisterConversion: {""uid"":605644538,""appid"":""maka"",""conversionTime"":1769132484000,""oaid"":"""",""imei"":"""",""idfa"":"""",""idfv"":""9B4E60AE-DB4C-4F89-B5B9-6A7963872693"",""androidid"":"""",""deviceid"":""40CB115A-D016-4D21-9DC0-1468BC7E2968"",""bundleid"":""im.maka.maka"",""device"":""ios"",""ip"":""61.171.240.195"",""caid"":""""}","handleRegisterConversion: {""uid"":605644538,""appid"":""maka"",""conversionTime"":1769132484000,""oaid"":"""",""imei"":"""",""idfa"":"""",""idfv"":""9B4E60AE-DB4C-4F89-B5B9-6A7963872693"",""androidid"":"""",""deviceid"":""40CB115A-D016-4D21-9DC0-1468BC7E2968"",""bundleid"":""im.maka.maka"",""device"":""ios"",""ip"":""61.171.240.195"",""caid"":""""}","_geoip_expired_database","_geoip_expired_database"
"Jan 23, 2026 @ 09:40:57.813",c6qD6JsBE7rYD0G3BW8z,"k8s-prod-promotion-event-service-20260123","-","svc.maka.mobi:84/maka/promotion-event-service:prod-20260121122754","svc.maka.mobi:84/maka/promotion-event-service:prod-20260121122754",container,container,"promotion-event-service","promotion-event-service",prod,prod,"cn-beijing.172.16.50.210","cn-beijing.172.16.50.210","cn-beijing.172.16.50.210","cn-beijing.172.16.50.210","10.224.60.235","10.224.60.235","promotion-event-service-66f4547c7c-khhzv","promotion-event-service-66f4547c7c-khhzv","promotion-event-service-66f4547c7c","promotion-event-service-66f4547c7c","handleRegisterConversion: {""uid"":605644537,""appid"":""maka"",""conversionTime"":1769132458000,""oaid"":""c46a57a45b7e43b2"",""imei"":"""",""idfa"":"""",""idfv"":"""",""androidid"":""d854e8906f142cd1"",""deviceid"":""c46a57a45b7e43b2"",""bundleid"":""com.maka.app"",""device"":""android"",""ip"":""113.132.46.228"",""caid"":""""}","handleRegisterConversion: {""uid"":605644537,""appid"":""maka"",""conversionTime"":1769132458000,""oaid"":""c46a57a45b7e43b2"",""imei"":"""",""idfa"":"""",""idfv"":"""",""androidid"":""d854e8906f142cd1"",""deviceid"":""c46a57a45b7e43b2"",""bundleid"":""com.maka.app"",""device"":""android"",""ip"":""113.132.46.228"",""caid"":""""}","_geoip_expired_database","_geoip_expired_database"
"Jan 23, 2026 @ 09:40:07.528",tqqC6JsBE7rYD0G3RhDk,"k8s-prod-promotion-event-service-20260123","-","svc.maka.mobi:84/maka/promotion-event-service:prod-20260121122754","svc.maka.mobi:84/maka/promotion-event-service:prod-20260121122754",container,container,"promotion-event-service","promotion-event-service",prod,prod,"cn-beijing.172.16.56.4","cn-beijing.172.16.56.4","cn-beijing.172.16.56.4","cn-beijing.172.16.56.4","10.224.14.84","10.224.14.84","promotion-event-service-66f4547c7c-qphs2","promotion-event-service-66f4547c7c-qphs2","promotion-event-service-66f4547c7c","promotion-event-service-66f4547c7c","handleRegisterConversion: {""uid"":605644536,""appid"":""jiantie"",""conversionTime"":1769132407000,""oaid"":"""",""imei"":"""",""idfa"":"""",""idfv"":"""",""androidid"":"""",""deviceid"":"""",""bundleid"":"""",""device"":""mini_program"",""ip"":""113.88.202.227"",""douyinH5Clickid"":false,""caid"":""""}","handleRegisterConversion: {""uid"":605644536,""appid"":""jiantie"",""conversionTime"":1769132407000,""oaid"":"""",""imei"":"""",""idfa"":"""",""idfv"":"""",""androidid"":"""",""deviceid"":"""",""bundleid"":"""",""device"":""mini_program"",""ip"":""113.88.202.227"",""douyinH5Clickid"":false,""caid"":""""}","_geoip_expired_database","_geoip_expired_database"
